movies,years,ratings,links,times,genre,directors,directors_webpage,recommender_movies
Das Boot,1981,8.3,https://www.imdb.com//title/tt0082096/,2h 29m,Drama,Wolfgang Petersen,https://www.imdb.com/name/nm0000583/?ref_=tt_ov_dr,"['Enemy Mine', 'Outbreak', 'Air Force One']"
Inglourious Basterds,2009,8.3,https://www.imdb.com//title/tt0361748/,2h 33m,Adventure,Quentin Tarantino,https://www.imdb.com/name/nm0000233/?ref_=tt_ov_dr,"['Pulp Fiction', 'Once Upon a Time in... Hollywood', 'The Hateful Eight']"
Mononoke-hime,1997,8.3,https://www.imdb.com//title/tt0119698/,2h 14m,Animation,Hayao Miyazaki,https://www.imdb.com/name/nm0594503/?ref_=tt_ov_dr,"['Tonari no Totoro', 'Hauru no ugoku shiro', 'Mononoke-hime']"
Avengers: Endgame,2019,8.3,https://www.imdb.com//title/tt4154796/,3h 1m,Action,Anthony Russo,https://www.imdb.com/name/nm0751577/?ref_=tt_ov_dr,"['Captain America: The Winter Soldier', 'Avengers: Infinity War', 'Captain America: Civil War']"
Once Upon a Time in America,1984,8.3,https://www.imdb.com//title/tt0087843/,3h 49m,Crime,Sergio Leone,https://www.imdb.com/name/nm0001466/?ref_=tt_ov_dr,"['Giù la testa', 'Il buono, il brutto, il cattivo', 'Per un pugno di dollari']"
Good Will Hunting,1997,8.3,https://www.imdb.com//title/tt0119217/,2h 6m,Drama,Gus Van Sant,https://www.imdb.com/name/nm0001814/?ref_=tt_ov_dr,"['Paranoid Park', 'Drugstore Cowboy', 'My Own Private Idaho']"
Requiem for a Dream,2000,8.3,https://www.imdb.com//title/tt0180093/,1h 42m,Drama,Darren Aronofsky,https://www.imdb.com/name/nm0004716/?ref_=tt_ov_dr,"['The Fountain', 'Requiem for a Dream', 'Mother!']"
Toy Story 3,2010,8.3,https://www.imdb.com//title/tt0435761/,1h 43m,Animation,Lee Unkrich,https://www.imdb.com/name/nm0881279/?ref_=tt_ov_dr,"['Coco', 'Toy Story 3', 'Finding Nemo']"
Kimi no na wa.,2016,8.3,https://www.imdb.com//title/tt5311514/,1h 46m,Animation,Makoto Shinkai,https://www.imdb.com/name/nm1396121/?ref_=tt_ov_dr,"['Kumo no mukô, yakusoku no basho', 'Tenki no ko', 'Koto no ha no niwa']"
Singin' in the Rain,1952,8.3,https://www.imdb.com//title/tt0045152/,1h 43m,Comedy,Stanley Donen,https://www.imdb.com/name/nm0002045/?ref_=tt_ov_dr,"[""Singin' in the Rain"", 'Funny Face', 'Two for the Road']"
3 Idiots,2009,8.3,https://www.imdb.com//title/tt1187043/,2h 50m,Comedy,Rajkumar Hirani,https://www.imdb.com/name/nm0386246/?ref_=tt_ov_dr,"['Sanju', '3 Idiots', 'Munna Bhai M.B.B.S.']"
